split,model,strategy,match_id,season,selection,model_probability,market_probability,estimated_edge,odds,actual_result,won,profit
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-13|Blackburn|Wolves,2011/12,D,0.6563216788998715,0.2968388589051658,0.35948281999470566,3.2,A,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-13|Fulham|Aston Villa,2011/12,D,0.6563216788998715,0.2968388589051658,0.35948281999470566,3.2,D,True,2.2
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-13|Liverpool|Sunderland,2011/12,D,0.6117620523671471,0.2626547488169782,0.3491073035501689,3.6,D,True,2.6
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-13|Newcastle|Arsenal,2011/12,D,0.5578388978978553,0.2928870292887029,0.26495186860915243,3.25,D,True,2.25
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-13|QPR|Bolton,2011/12,D,0.6408000118375424,0.2909090909090909,0.34989092092845153,3.25,A,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-13|Wigan|Norwich,2011/12,D,0.6563216788998715,0.2968388589051658,0.35948281999470566,3.2,D,True,2.2
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-14|Stoke|Chelsea,2011/12,D,0.42994960743919136,0.27062228654124454,0.15932732089794682,3.5,D,True,2.5
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-14|West Brom|Man United,2011/12,D,0.35542819093786654,0.23641982645905146,0.11900836447881508,4.0,A,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-15|Man City|Swansea,2011/12,D,0.4951543724717985,0.19009294944457042,0.30506142302722805,5.0,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-20|Arsenal|Liverpool,2011/12,H,0.5631871320621122,0.3800403225806452,0.18314680948146705,2.5,A,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-20|Aston Villa|Blackburn,2011/12,H,0.7155644092755694,0.5484353462181424,0.16712906305742703,1.73,H,True,0.73
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-20|Chelsea|West Brom,2011/12,H,0.9076218979988646,0.7318695941450433,0.17575230385382135,1.3,H,True,0.30000000000000004
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-20|Everton|QPR,2011/12,A,0.6423975866689409,0.1348205175772192,0.5075770690917216,7.0,A,True,6.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-20|Sunderland|Newcastle,2011/12,H,0.5995944897101293,0.43029595015576316,0.16929853955436613,2.2,A,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-20|Swansea|Wigan,2011/12,A,0.3147795050979837,0.2627986348122867,0.05198087028569698,3.6,D,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-21|Bolton|Man City,2011/12,A,0.7528971331515807,0.5281969817315331,0.22470015142004762,1.8,A,True,0.8
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-21|Norwich|Stoke,2011/12,H,0.45930679079436004,0.3658536585365853,0.09345313225777474,2.6,D,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-21|Wolves|Fulham,2011/12,H,0.5878297138074908,0.39999205971097346,0.18783765409651737,2.38,H,True,1.38
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-22|Man United|Tottenham,2011/12,H,0.9352159449121744,0.5717651950932151,0.3634507498189593,1.67,H,True,0.6699999999999999
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-08-27|Aston Villa|Wolves,2011/12,D,0.4732508225928167,0.2928870292887029,0.18036379330411378,3.25,D,True,2.25
