split,model,strategy,selections,wins,losses,win_rate,average_odds,profit,roi,maximum_drawdown,longest_losing_streak
OUT-OF-SAMPLE,gradient_boosting,fixed_edge_0.05,547,203,344,0.3711151736745887,2.986745886654479,-108.28999999999999,-0.1979707495429616,-118.65000000000006,11
OUT-OF-SAMPLE,logistic_regression,fixed_edge_0.05,553,224,329,0.4050632911392405,2.7905063291139243,-70.02000000000001,-0.12661844484629298,-84.99000000000001,8
OUT-OF-SAMPLE,random_forest,fixed_edge_0.05,168,44,124,0.2619047619047619,4.644583333333333,-32.56999999999999,-0.19386904761904758,-31.570000000000007,13
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,fixed_edge_0.05,421,151,270,0.3586698337292161,2.8956532066508314,-72.58,-0.17239904988123514,-74.78000000000003,10
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,fixed_edge_0.05,548,230,318,0.4197080291970803,2.6499452554744525,-77.91999999999999,-0.14218978102189778,-93.56,10
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,fixed_edge_0.05,219,77,142,0.3515981735159817,3.36392694063927,-29.380000000000003,-0.13415525114155252,-43.61999999999999,11
TRAINING,gradient_boosting,fixed_edge_0.05,1320,798,522,0.6045454545454545,4.45234090909091,1140.65,0.864128787878788,-10.970000000000027,7
TRAINING,logistic_regression,fixed_edge_0.05,1927,923,1004,0.4789828749351323,3.1861338868707834,460.37,0.23890503373118838,-28.33000000000002,10
TRAINING,random_forest,fixed_edge_0.05,1600,1473,127,0.920625,3.3152874999999993,2975.3,1.8595625,-2.0,2
VALIDATION,gradient_boosting,fixed_edge_0.05,380,159,221,0.41842105263157897,3.838184210526315,-3.179999999999998,-0.008368421052631574,-25.150000000000013,9
VALIDATION,logistic_regression,fixed_edge_0.05,424,191,233,0.45047169811320753,2.892075471698113,-4.510000000000005,-0.010636792452830201,-24.799999999999997,9
VALIDATION,random_forest,fixed_edge_0.05,174,69,105,0.39655172413793105,4.3549425287356325,12.160000000000002,0.06988505747126438,-12.209999999999997,5
