split,model,group,selections,wins,profit,roi
OUT-OF-SAMPLE,gradient_boosting,"(0.049, 0.1]",282,107,-46.67,-0.16549645390070922
OUT-OF-SAMPLE,gradient_boosting,"(0.1, 0.15]",157,62,-29.75,-0.18949044585987262
OUT-OF-SAMPLE,gradient_boosting,"(0.15, 0.25]",105,33,-34.120000000000005,-0.324952380952381
OUT-OF-SAMPLE,gradient_boosting,"(0.25, 1.0]",3,1,2.25,0.75
OUT-OF-SAMPLE,logistic_regression,"(0.049, 0.1]",335,133,-47.260000000000005,-0.14107462686567165
OUT-OF-SAMPLE,logistic_regression,"(0.1, 0.15]",162,69,-18.61,-0.11487654320987654
OUT-OF-SAMPLE,logistic_regression,"(0.15, 0.25]",55,22,-3.1500000000000017,-0.0572727272727273
OUT-OF-SAMPLE,logistic_regression,"(0.25, 1.0]",1,0,-1.0,-1.0
OUT-OF-SAMPLE,random_forest,"(0.049, 0.1]",159,42,-35.4,-0.22264150943396224
OUT-OF-SAMPLE,random_forest,"(0.1, 0.15]",8,2,3.83,0.47875
OUT-OF-SAMPLE,random_forest,"(0.15, 0.25]",1,0,-1.0,-1.0
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,"(0.049, 0.1]",241,86,-47.349999999999994,-0.19647302904564312
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,"(0.1, 0.15]",120,47,-19.950000000000003,-0.16625000000000004
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,"(0.15, 0.25]",59,18,-4.279999999999999,-0.07254237288135593
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,"(0.25, 1.0]",1,0,-1.0,-1.0
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,"(0.049, 0.1]",320,134,-52.96,-0.1655
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,"(0.1, 0.15]",172,70,-28.33,-0.1647093023255814
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,"(0.15, 0.25]",56,26,3.37,0.06017857142857143
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,"(0.049, 0.1]",204,70,-39.16,-0.19196078431372549
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,"(0.1, 0.15]",15,7,9.78,0.6519999999999999
TRAINING,gradient_boosting,"(0.049, 0.1]",1111,630,838.7900000000001,0.754986498649865
TRAINING,gradient_boosting,"(0.1, 0.15]",163,129,223.49,1.3711042944785277
TRAINING,gradient_boosting,"(0.15, 0.25]",44,37,73.92,1.68
TRAINING,gradient_boosting,"(0.25, 1.0]",2,2,4.45,2.225
TRAINING,logistic_regression,"(0.049, 0.1]",1494,691,318.52,0.2131994645247657
TRAINING,logistic_regression,"(0.1, 0.15]",315,159,78.83999999999999,0.2502857142857143
TRAINING,logistic_regression,"(0.15, 0.25]",94,58,35.339999999999996,0.3759574468085106
TRAINING,logistic_regression,"(0.25, 1.0]",24,15,27.67,1.1529166666666668
TRAINING,random_forest,"(0.049, 0.1]",1368,1242,2463.05,1.8004751461988306
TRAINING,random_forest,"(0.1, 0.15]",214,213,454.70000000000005,2.124766355140187
TRAINING,random_forest,"(0.15, 0.25]",18,18,57.550000000000004,3.1972222222222224
VALIDATION,gradient_boosting,"(0.049, 0.1]",254,98,-18.06,-0.0711023622047244
VALIDATION,gradient_boosting,"(0.1, 0.15]",96,48,11.54,0.12020833333333332
VALIDATION,gradient_boosting,"(0.15, 0.25]",30,13,3.34,0.11133333333333333
VALIDATION,logistic_regression,"(0.049, 0.1]",293,132,7.899999999999997,0.02696245733788395
VALIDATION,logistic_regression,"(0.1, 0.15]",91,40,-9.599999999999998,-0.10549450549450547
VALIDATION,logistic_regression,"(0.15, 0.25]",38,18,-3.19,-0.08394736842105263
VALIDATION,logistic_regression,"(0.25, 1.0]",2,1,0.3799999999999999,0.18999999999999995
VALIDATION,random_forest,"(0.049, 0.1]",167,65,8.010000000000002,0.047964071856287434
VALIDATION,random_forest,"(0.1, 0.15]",7,4,4.15,0.5928571428571429
