split,model,group,selections,wins,profit,roi
OUT-OF-SAMPLE,gradient_boosting,A,97,30,-23.200000000000003,-0.2391752577319588
OUT-OF-SAMPLE,gradient_boosting,D,32,7,-7.1499999999999995,-0.22343749999999998
OUT-OF-SAMPLE,gradient_boosting,H,418,166,-77.94,-0.18645933014354066
OUT-OF-SAMPLE,logistic_regression,A,158,56,-22.91,-0.145
OUT-OF-SAMPLE,logistic_regression,D,10,3,2.83,0.28300000000000003
OUT-OF-SAMPLE,logistic_regression,H,385,165,-49.94,-0.1297142857142857
OUT-OF-SAMPLE,random_forest,A,76,16,-23.03,-0.3030263157894737
OUT-OF-SAMPLE,random_forest,D,21,5,4.25,0.20238095238095238
OUT-OF-SAMPLE,random_forest,H,71,23,-13.789999999999997,-0.19422535211267603
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,A,30,8,-13.94,-0.4646666666666667
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,D,126,32,-1.2600000000000007,-0.010000000000000005
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,H,265,111,-57.38000000000001,-0.21652830188679248
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,A,102,37,-16.939999999999998,-0.166078431372549
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,D,11,2,-3.17,-0.28818181818181815
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,H,435,191,-57.81,-0.13289655172413795
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,A,29,8,-17.06,-0.5882758620689654
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,D,54,12,8.03,0.1487037037037037
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,H,136,57,-20.35,-0.1496323529411765
TRAINING,gradient_boosting,A,535,322,480.47,0.8980747663551403
TRAINING,gradient_boosting,D,291,170,314.23,1.0798281786941581
TRAINING,gradient_boosting,H,494,306,345.95000000000005,0.7003036437246964
TRAINING,logistic_regression,A,782,373,165.16,0.2112020460358056
TRAINING,logistic_regression,D,451,168,144.48000000000002,0.3203547671840355
TRAINING,logistic_regression,H,694,382,150.73,0.2171902017291066
TRAINING,random_forest,A,609,569,1169.23,1.9199178981937604
TRAINING,random_forest,D,364,325,929.8100000000001,2.554423076923077
TRAINING,random_forest,H,627,579,876.26,1.3975438596491228
VALIDATION,gradient_boosting,A,148,66,7.290000000000001,0.04925675675675676
VALIDATION,gradient_boosting,D,47,14,1.4500000000000002,0.030851063829787237
VALIDATION,gradient_boosting,H,185,79,-11.92,-0.06443243243243243
VALIDATION,logistic_regression,A,238,90,-36.709999999999994,-0.15424369747899158
VALIDATION,logistic_regression,D,16,4,-0.4499999999999993,-0.028124999999999956
VALIDATION,logistic_regression,H,170,97,32.65,0.19205882352941175
VALIDATION,random_forest,A,90,34,-9.879999999999999,-0.10977777777777777
VALIDATION,random_forest,D,26,8,5.7,0.21923076923076923
VALIDATION,random_forest,H,58,27,16.34,0.28172413793103446
