split,model,group,selections,wins,profit,roi
OUT-OF-SAMPLE,gradient_boosting,"(-0.001, 0.4]",141,21,-52.94,-0.3754609929078014
OUT-OF-SAMPLE,gradient_boosting,"(0.4, 0.5]",91,33,2.2699999999999996,0.024945054945054942
OUT-OF-SAMPLE,gradient_boosting,"(0.5, 0.6]",106,32,-37.21,-0.3510377358490566
OUT-OF-SAMPLE,gradient_boosting,"(0.6, 0.7]",104,54,-8.51,-0.08182692307692307
OUT-OF-SAMPLE,gradient_boosting,"(0.7, 1.0]",105,63,-11.900000000000002,-0.11333333333333336
OUT-OF-SAMPLE,logistic_regression,"(-0.001, 0.4]",146,28,-33.269999999999996,-0.2278767123287671
OUT-OF-SAMPLE,logistic_regression,"(0.4, 0.5]",105,37,-4.620000000000001,-0.04400000000000001
OUT-OF-SAMPLE,logistic_regression,"(0.5, 0.6]",99,42,-11.010000000000002,-0.11121212121212123
OUT-OF-SAMPLE,logistic_regression,"(0.6, 0.7]",102,59,0.8700000000000006,0.008529411764705888
OUT-OF-SAMPLE,logistic_regression,"(0.7, 1.0]",101,58,-21.99,-0.2177227722772277
OUT-OF-SAMPLE,random_forest,"(-0.001, 0.4]",108,18,-19.27,-0.17842592592592593
OUT-OF-SAMPLE,random_forest,"(0.4, 0.5]",16,3,-8.25,-0.515625
OUT-OF-SAMPLE,random_forest,"(0.5, 0.6]",15,7,-1.5899999999999999,-0.106
OUT-OF-SAMPLE,random_forest,"(0.6, 0.7]",22,11,-3.5700000000000003,-0.1622727272727273
OUT-OF-SAMPLE,random_forest,"(0.7, 1.0]",7,5,0.10999999999999943,0.015714285714285632
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,"(-0.001, 0.4]",143,33,-16.540000000000003,-0.11566433566433568
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,"(0.4, 0.5]",79,18,-21.659999999999997,-0.27417721518987337
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,"(0.5, 0.6]",53,19,-14.549999999999999,-0.27452830188679245
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,"(0.6, 0.7]",63,28,-14.070000000000002,-0.22333333333333336
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,"(0.7, 1.0]",83,53,-5.759999999999999,-0.06939759036144577
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,"(-0.001, 0.4]",127,24,-36.89,-0.2904724409448819
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,"(0.4, 0.5]",100,33,-11.549999999999999,-0.11549999999999999
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,"(0.5, 0.6]",98,44,-5.640000000000002,-0.05755102040816329
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,"(0.6, 0.7]",105,55,-7.76,-0.0739047619047619
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,"(0.7, 1.0]",118,74,-16.080000000000002,-0.13627118644067798
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,"(-0.001, 0.4]",101,19,-10.99,-0.10881188118811881
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,"(0.4, 0.5]",13,4,-2.8900000000000006,-0.22230769230769235
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,"(0.5, 0.6]",33,17,-1.15,-0.034848484848484844
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,"(0.6, 0.7]",48,22,-11.59,-0.24145833333333333
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,"(0.7, 1.0]",24,15,-2.76,-0.11499999999999999
TRAINING,gradient_boosting,"(-0.001, 0.4]",723,312,785.25,1.0860995850622406
TRAINING,gradient_boosting,"(0.4, 0.5]",160,110,145.56,0.9097500000000001
TRAINING,gradient_boosting,"(0.5, 0.6]",132,106,90.16,0.683030303030303
TRAINING,gradient_boosting,"(0.6, 0.7]",162,136,68.41,0.4222839506172839
TRAINING,gradient_boosting,"(0.7, 1.0]",143,134,51.269999999999996,0.3585314685314685
TRAINING,logistic_regression,"(-0.001, 0.4]",862,281,299.13,0.3470185614849188
TRAINING,logistic_regression,"(0.4, 0.5]",292,119,41.68,0.14273972602739726
TRAINING,logistic_regression,"(0.5, 0.6]",251,138,38.64,0.15394422310756972
TRAINING,logistic_regression,"(0.6, 0.7]",214,141,43.85,0.20490654205607478
TRAINING,logistic_regression,"(0.7, 1.0]",308,244,37.07,0.12035714285714286
TRAINING,random_forest,"(-0.001, 0.4]",735,618,2253.02,3.0653333333333332
TRAINING,random_forest,"(0.4, 0.5]",171,170,293.6,1.7169590643274855
TRAINING,random_forest,"(0.5, 0.6]",133,133,133.89999999999998,1.006766917293233
