split,model,group,selections,wins,profit,roi
OUT-OF-SAMPLE,gradient_boosting,2024/25,270,100,-53.160000000000004,-0.1968888888888889
OUT-OF-SAMPLE,gradient_boosting,2025/26,277,103,-55.129999999999995,-0.19902527075812274
OUT-OF-SAMPLE,logistic_regression,2024/25,282,127,-13.120000000000001,-0.04652482269503547
OUT-OF-SAMPLE,logistic_regression,2025/26,271,97,-56.9,-0.2099630996309963
OUT-OF-SAMPLE,random_forest,2024/25,95,24,-13.639999999999997,-0.14357894736842103
OUT-OF-SAMPLE,random_forest,2025/26,73,20,-18.93,-0.25931506849315067
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,2024/25,203,70,-41.349999999999994,-0.20369458128078816
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,2025/26,218,81,-31.23,-0.14325688073394496
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,2024/25,273,127,-24.03,-0.08802197802197803
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,2025/26,275,103,-53.88999999999999,-0.19596363636363634
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,2024/25,111,33,-25.369999999999997,-0.22855855855855853
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,2025/26,108,44,-4.009999999999998,-0.03712962962962961
TRAINING,gradient_boosting,2011/12,134,85,150.46,1.1228358208955225
TRAINING,gradient_boosting,2012/13,104,68,78.56,0.7553846153846154
TRAINING,gradient_boosting,2013/14,106,66,98.51,0.9293396226415095
TRAINING,gradient_boosting,2014/15,100,63,96.57000000000001,0.9657000000000001
TRAINING,gradient_boosting,2015/16,115,76,104.4,0.9078260869565218
TRAINING,gradient_boosting,2016/17,100,52,60.65,0.6065
TRAINING,gradient_boosting,2017/18,107,60,113.42000000000002,1.06
TRAINING,gradient_boosting,2018/19,124,52,59.03,0.4760483870967742
TRAINING,gradient_boosting,2019/20,132,77,84.13,0.6373484848484848
TRAINING,gradient_boosting,2020/21,147,96,130.9,0.8904761904761905
TRAINING,gradient_boosting,2021/22,151,103,164.01999999999998,1.0862251655629138
TRAINING,logistic_regression,2011/12,226,113,37.3,0.16504424778761062
TRAINING,logistic_regression,2012/13,181,77,22.29,0.12314917127071823
TRAINING,logistic_regression,2013/14,154,69,22.61,0.14681818181818182
TRAINING,logistic_regression,2014/15,176,86,35.379999999999995,0.20102272727272724
TRAINING,logistic_regression,2015/16,176,86,49.6,0.2818181818181818
TRAINING,logistic_regression,2016/17,151,75,56.040000000000006,0.3711258278145696
TRAINING,logistic_regression,2017/18,162,74,44.79,0.2764814814814815
TRAINING,logistic_regression,2018/19,174,84,48.38000000000001,0.2780459770114943
TRAINING,logistic_regression,2019/20,166,76,34.43,0.20740963855421687
TRAINING,logistic_regression,2020/21,173,83,42.78,0.24728323699421967
TRAINING,logistic_regression,2021/22,188,100,66.77000000000001,0.35515957446808516
TRAINING,random_forest,2011/12,168,141,314.98,1.8748809523809524
TRAINING,random_forest,2012/13,147,137,226.55,1.541156462585034
TRAINING,random_forest,2013/14,129,120,189.57999999999998,1.4696124031007751
TRAINING,random_forest,2014/15,133,128,218.66,1.6440601503759398
TRAINING,random_forest,2015/16,133,126,259.21999999999997,1.9490225563909773
TRAINING,random_forest,2016/17,129,119,196.2,1.5209302325581395
TRAINING,random_forest,2017/18,135,122,298.51,2.211185185185185
TRAINING,random_forest,2018/19,125,112,232.09,1.85672
TRAINING,random_forest,2019/20,152,140,293.32,1.9297368421052632
TRAINING,random_forest,2020/21,184,175,424.61,2.307663043478261
TRAINING,random_forest,2021/22,165,153,321.58000000000004,1.9489696969696972
VALIDATION,gradient_boosting,2022/23,176,61,-14.45,-0.08210227272727272
VALIDATION,gradient_boosting,2023/24,204,98,11.27,0.055245098039215686
VALIDATION,logistic_regression,2022/23,198,86,-7.430000000000003,-0.037525252525252545
VALIDATION,logistic_regression,2023/24,226,105,2.92,0.012920353982300885
VALIDATION,random_forest,2022/23,87,33,18.080000000000002,0.207816091954023
VALIDATION,random_forest,2023/24,87,36,-5.919999999999999,-0.06804597701149424
