season,date,home_team,away_team,full_time_home_goals,full_time_away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_odds,draw_odds,away_odds,source,match_date,match_id
2011/12,13/08/11,Blackburn,Wolves,1,2,A,1,1,D,16,13,8,4,12,6,14,10,4,2,0,0,2.2,3.2,3.5,Football-Data.co.uk,2011-08-13,2011/12|2011-08-13|Blackburn|Wolves
2011/12,13/08/11,Fulham,Aston Villa,0,0,D,0,0,D,13,7,9,1,2,3,10,18,2,4,0,0,2.2,3.2,3.5,Football-Data.co.uk,2011-08-13,2011/12|2011-08-13|Fulham|Aston Villa
2011/12,13/08/11,Liverpool,Sunderland,1,1,D,1,0,H,11,15,4,6,6,3,17,12,4,4,0,0,1.57,3.6,7.0,Football-Data.co.uk,2011-08-13,2011/12|2011-08-13|Liverpool|Sunderland
2011/12,13/08/11,Newcastle,Arsenal,0,0,D,0,0,D,6,9,1,4,2,5,9,11,3,5,0,1,3.75,3.25,2.1,Football-Data.co.uk,2011-08-13,2011/12|2011-08-13|Newcastle|Arsenal
2011/12,13/08/11,QPR,Bolton,0,4,A,0,1,A,13,13,7,7,3,2,9,16,1,2,1,0,2.4,3.25,3.0,Football-Data.co.uk,2011-08-13,2011/12|2011-08-13|QPR|Bolton
2011/12,13/08/11,Wigan,Norwich,1,1,D,1,1,D,18,13,11,3,7,3,11,8,2,2,0,0,2.2,3.2,3.5,Football-Data.co.uk,2011-08-13,2011/12|2011-08-13|Wigan|Norwich
2011/12,14/08/11,Stoke,Chelsea,0,0,D,0,0,D,6,20,3,11,4,6,12,12,2,2,0,0,5.5,3.5,1.7,Football-Data.co.uk,2011-08-14,2011/12|2011-08-14|Stoke|Chelsea
2011/12,14/08/11,West Brom,Man United,1,2,A,1,1,D,14,11,8,5,6,5,16,9,3,2,0,0,6.5,4.0,1.53,Football-Data.co.uk,2011-08-14,2011/12|2011-08-14|West Brom|Man United
2011/12,15/08/11,Man City,Swansea,4,0,H,0,0,D,26,8,19,5,7,4,9,2,0,0,0,0,1.29,5.0,13.0,Football-Data.co.uk,2011-08-15,2011/12|2011-08-15|Man City|Swansea
2011/12,20/08/11,Arsenal,Liverpool,0,2,A,0,0,D,10,13,6,8,9,5,11,6,2,2,1,0,2.5,3.25,2.9,Football-Data.co.uk,2011-08-20,2011/12|2011-08-20|Arsenal|Liverpool
2011/12,20/08/11,Aston Villa,Blackburn,3,1,H,2,0,H,9,10,6,6,5,4,9,13,3,0,0,0,1.73,3.4,5.5,Football-Data.co.uk,2011-08-20,2011/12|2011-08-20|Aston Villa|Blackburn
2011/12,20/08/11,Chelsea,West Brom,2,1,H,0,1,A,22,6,12,4,7,4,12,8,2,4,0,0,1.3,5.5,10.0,Football-Data.co.uk,2011-08-20,2011/12|2011-08-20|Chelsea|West Brom
2011/12,20/08/11,Everton,QPR,0,1,A,0,1,A,14,4,7,3,2,1,12,9,1,1,0,0,1.53,3.8,7.0,Football-Data.co.uk,2011-08-20,2011/12|2011-08-20|Everton|QPR
