season,date,home_team,away_team,full_time_home_goals,full_time_away_goals,full_time_result,home_goals_avg_5,away_goals_avg_5,home_odds,draw_odds,away_odds,leakage_guard
2011/12,13/08/11,Blackburn,Wolves,1,2,A,,,2.2,3.2,3.5,Only rows before current match
2011/12,13/08/11,Fulham,Aston Villa,0,0,D,,,2.2,3.2,3.5,Only rows before current match
2011/12,13/08/11,Liverpool,Sunderland,1,1,D,,,1.57,3.6,7,Only rows before current match
2011/12,13/08/11,Newcastle,Arsenal,0,0,D,,,3.75,3.25,2.1,Only rows before current match
2011/12,13/08/11,QPR,Bolton,0,4,A,,,2.4,3.25,3,Only rows before current match
2011/12,13/08/11,Wigan,Norwich,1,1,D,,,2.2,3.2,3.5,Only rows before current match
2011/12,14/08/11,Stoke,Chelsea,0,0,D,,,5.5,3.5,1.7,Only rows before current match
2011/12,14/08/11,West Brom,Man United,1,2,A,,,6.5,4,1.53,Only rows before current match
2011/12,15/08/11,Man City,Swansea,4,0,H,,,1.29,5,13,Only rows before current match
2011/12,20/08/11,Arsenal,Liverpool,0,2,A,,,2.5,3.25,2.9,Only rows before current match
2011/12,20/08/11,Aston Villa,Blackburn,3,1,H,,,1.73,3.4,5.5,Only rows before current match
2011/12,20/08/11,Chelsea,West Brom,2,1,H,0.000,1.000,1.3,5.5,10,Only rows before current match
2011/12,20/08/11,Everton,QPR,0,1,A,,,1.53,3.8,7,Only rows before current match
2011/12,20/08/11,Sunderland,Newcastle,0,1,A,,,2.2,3.25,3.4,Only rows before current match
2011/12,20/08/11,Swansea,Wigan,0,0,D,,,2.1,3.3,3.6,Only rows before current match
2011/12,21/08/11,Bolton,Man City,2,3,A,,,4.75,3.5,1.8,Only rows before current match
2011/12,21/08/11,Norwich,Stoke,1,1,D,,,2.6,3.3,2.75,Only rows before current match
2011/12,21/08/11,Wolves,Fulham,2,0,H,,,2.38,3.25,3.1,Only rows before current match
2011/12,22/08/11,Man United,Tottenham,3,0,H,,,1.67,3.75,5.5,Only rows before current match
2011/12,27/08/11,Aston Villa,Wolves,0,0,D,,2.000,2.1,3.25,3.75,Only rows before current match
2011/12,27/08/11,Blackburn,Everton,0,1,A,,,3.3,3.25,2.25,Only rows before current match
2011/12,27/08/11,Chelsea,Norwich,3,1,H,,1.000,1.2,6.5,15,Only rows before current match
2011/12,27/08/11,Liverpool,Bolton,3,1,H,,,1.4,4.5,8.5,Only rows before current match
2011/12,27/08/11,Swansea,Sunderland,0,0,D,,,2.38,3.3,3,Only rows before current match
2011/12,27/08/11,Wigan,QPR,2,0,H,,,2.25,3.3,3.25,Only rows before current match
2011/12,28/08/11,Man United,Arsenal,8,2,H,,,1.5,4.33,6.5,Only rows before current match
2011/12,28/08/11,Newcastle,Fulham,2,1,H,,,2.1,3.25,3.75,Only rows before current match
2011/12,28/08/11,Tottenham,Man City,1,5,A,,,2.88,3.3,2.5,Only rows before current match
2011/12,28/08/11,West Brom,Stoke,0,1,A,,,2.1,3.25,3.75,Only rows before current match
2011/12,10/09/11,Arsenal,Swansea,1,0,H,2.000,,1.36,4.75,9,Only rows before current match
2011/12,10/09/11,Bolton,Man United,0,5,A,,8.000,9,4.5,1.4,Only rows before current match
2011/12,10/09/11,Everton,Aston Villa,2,2,D,,,2,3.4,3.8,Only rows before current match
2011/12,10/09/11,Man City,Wigan,3,0,H,5.000,,1.17,7,17,Only rows before current match
2011/12,10/09/11,Stoke,Liverpool,1,0,H,1.000,,3.25,3.3,2.25,Only rows before current match
2011/12,10/09/11,Sunderland,Chelsea,1,2,A,,,5,3.75,1.7,Only rows before current match
2011/12,10/09/11,Wolves,Tottenham,0,2,A,,,3,3.25,2.4,Only rows before current match
2011/12,11/09/11,Fulham,Blackburn,1,1,D,,,1.67,3.6,5.5,Only rows before current match
2011/12,11/09/11,Norwich,West Brom,0,1,A,,,2.5,3.25,2.88,Only rows before current match
2011/12,12/09/11,QPR,Newcastle,0,0,D,,,2.4,3.25,3,Only rows before current match
2011/12,17/09/11,Aston Villa,Newcastle,1,1,D,,0.000,1.91,3.4,4.2,Only rows before current match
2011/12,17/09/11,Blackburn,Arsenal,4,3,H,1.000,,4.2,3.4,1.91,Only rows before current match
2011/12,17/09/11,Bolton,Norwich,1,2,A,,0.000,1.8,3.6,4.6,Only rows before current match
2011/12,17/09/11,Everton,Wigan,3,1,H,,,1.5,4,7,Only rows before current match
2011/12,17/09/11,Swansea,West Brom,3,0,H,,,2.63,3.2,2.75,Only rows before current match
2011/12,17/09/11,Wolves,QPR,0,3,A,,,1.91,3.4,4.2,Only rows before current match
2011/12,18/09/11,Fulham,Man City,2,2,D,,,6.5,3.8,1.57,Only rows before current match
2011/12,18/09/11,Man United,Chelsea,3,1,H,,,1.83,3.5,4.5,Only rows before current match
2011/12,18/09/11,Sunderland,Stoke,4,0,H,,,2.4,3.2,3.1,Only rows before current match
2011/12,18/09/11,Tottenham,Liverpool,4,0,H,,,2.63,3.4,2.63,Only rows before current match
2011/12,24/09/11,Arsenal,Bolton,3,0,H,,,1.44,4.5,7,Only rows before current match
2011/12,24/09/11,Chelsea,Swansea,4,1,H,1.000,,1.2,6.5,15,Only rows before current match
2011/12,24/09/11,Liverpool,Wolves,2,1,H,0.000,,1.36,4.5,10,Only rows before current match
2011/12,24/09/11,Man City,Everton,2,0,H,,,1.44,4.33,7.5,Only rows before current match
2011/12,24/09/11,Newcastle,Blackburn,3,1,H,,,1.83,3.5,4.5,Only rows before current match
2011/12,24/09/11,Stoke,Man United,1,1,D,,,6.5,4,1.53,Only rows before current match
2011/12,24/09/11,West Brom,Fulham,0,0,D,,,2.3,3.25,3.25,Only rows before current match
2011/12,24/09/11,Wigan,Tottenham,1,2,A,,,4,3.5,1.91,Only rows before current match
2011/12,25/09/11,QPR,Aston Villa,1,1,D,,,2.3,3.25,3.2,Only rows before current match
2011/12,26/09/11,Norwich,Sunderland,2,1,H,,,2.5,3.4,2.8,Only rows before current match
2011/12,01/10/11,Aston Villa,Wigan,2,0,H,1.000,1.000,1.62,3.75,6,Only rows before current match
2011/12,01/10/11,Blackburn,Man City,0,4,A,,,6.5,3.75,1.57,Only rows before current match
2011/12,01/10/11,Everton,Liverpool,0,2,A,,,3.1,3.2,2.4,Only rows before current match
2011/12,01/10/11,Man United,Norwich,2,0,H,,2.000,1.17,7,17,Only rows before current match
2011/12,01/10/11,Sunderland,West Brom,2,2,D,1.000,,2.25,3.4,3.2,Only rows before current match
2011/12,01/10/11,Wolves,Newcastle,1,2,A,,,2.5,3.25,2.88,Only rows before current match
2011/12,02/10/11,Bolton,Chelsea,1,5,A,,,6.5,4,1.53,Only rows before current match
2011/12,02/10/11,Fulham,QPR,6,0,H,,,2,3.3,4,Only rows before current match
2011/12,02/10/11,Swansea,Stoke,2,0,H,,,2.63,3.25,2.75,Only rows before current match
2011/12,02/10/11,Tottenham,Arsenal,2,1,H,,,2.1,3.4,3.5,Only rows before current match
2011/12,15/10/11,Chelsea,Everton,3,1,H,5.000,,1.36,4.5,10,Only rows before current match
2011/12,15/10/11,Liverpool,Man United,1,1,D,,,3,3.3,2.4,Only rows before current match
2011/12,15/10/11,Man City,Aston Villa,4,1,H,,,1.33,5,10,Only rows before current match
2011/12,15/10/11,Norwich,Swansea,3,1,H,,2.000,2.2,3.3,3.4,Only rows before current match
2011/12,15/10/11,QPR,Blackburn,1,1,D,,,1.83,3.5,4.5,Only rows before current match
2011/12,15/10/11,Stoke,Fulham,2,0,H,,,2.2,3.2,3.5,Only rows before current match
2011/12,15/10/11,Wigan,Bolton,1,3,A,,,2.3,3.3,3.2,Only rows before current match
2011/12,16/10/11,Arsenal,Sunderland,2,1,H,,,1.44,4.33,7.5,Only rows before current match
2011/12,16/10/11,Newcastle,Tottenham,2,2,D,,,3,3.3,2.4,Only rows before current match
2011/12,16/10/11,West Brom,Wolves,2,0,H,,,2,3.3,4,Only rows before current match
2011/12,22/10/11,Aston Villa,West Brom,1,2,A,,2.000,2,3.3,4,Only rows before current match
2011/12,22/10/11,Bolton,Sunderland,0,2,A,3.000,1.000,2.2,3.2,3.5,Only rows before current match
