split,model,probability_range,count,mean_predicted_probability,observed_accuracy
OUT-OF-SAMPLE,bookmaker_probability,0.0-0.1,0,,
OUT-OF-SAMPLE,bookmaker_probability,0.1-0.2,0,,
OUT-OF-SAMPLE,bookmaker_probability,0.2-0.3,0,,
OUT-OF-SAMPLE,bookmaker_probability,0.3-0.4,114,0.37871820183437593,0.40350877192982454
OUT-OF-SAMPLE,bookmaker_probability,0.4-0.5,235,0.4494479868041459,0.451063829787234
OUT-OF-SAMPLE,bookmaker_probability,0.5-0.6,201,0.5501304692014444,0.46766169154228854
OUT-OF-SAMPLE,bookmaker_probability,0.6-0.7,136,0.649787123605555,0.6544117647058824
OUT-OF-SAMPLE,bookmaker_probability,0.7-0.8,56,0.74145511823807,0.6785714285714286
OUT-OF-SAMPLE,bookmaker_probability,0.8-0.9,18,0.8329031430301311,1.0
OUT-OF-SAMPLE,bookmaker_probability,0.9-1.0,0,,
OUT-OF-SAMPLE,gradient_boosting,0.0-0.1,0,,
OUT-OF-SAMPLE,gradient_boosting,0.1-0.2,0,,
OUT-OF-SAMPLE,gradient_boosting,0.2-0.3,0,,
OUT-OF-SAMPLE,gradient_boosting,0.3-0.4,58,0.38214932924455003,0.3275862068965517
OUT-OF-SAMPLE,gradient_boosting,0.4-0.5,194,0.4456500414850083,0.44329896907216493
OUT-OF-SAMPLE,gradient_boosting,0.5-0.6,193,0.5509026526762525,0.37823834196891193
OUT-OF-SAMPLE,gradient_boosting,0.6-0.7,152,0.6563089170878501,0.5394736842105263
OUT-OF-SAMPLE,gradient_boosting,0.7-0.8,141,0.7483406710348349,0.6808510638297872
OUT-OF-SAMPLE,gradient_boosting,0.8-0.9,22,0.8155347727799946,0.6818181818181818
OUT-OF-SAMPLE,gradient_boosting,0.9-1.0,0,,
OUT-OF-SAMPLE,historical_frequency,0.0-0.1,0,,
OUT-OF-SAMPLE,historical_frequency,0.1-0.2,0,,
OUT-OF-SAMPLE,historical_frequency,0.2-0.3,0,,
OUT-OF-SAMPLE,historical_frequency,0.3-0.4,0,,
OUT-OF-SAMPLE,historical_frequency,0.4-0.5,760,0.44617224880382794,0.41710526315789476
OUT-OF-SAMPLE,historical_frequency,0.5-0.6,0,,
OUT-OF-SAMPLE,historical_frequency,0.6-0.7,0,,
OUT-OF-SAMPLE,historical_frequency,0.7-0.8,0,,
OUT-OF-SAMPLE,historical_frequency,0.8-0.9,0,,
OUT-OF-SAMPLE,historical_frequency,0.9-1.0,0,,
OUT-OF-SAMPLE,logistic_regression,0.0-0.1,0,,
OUT-OF-SAMPLE,logistic_regression,0.1-0.2,0,,
OUT-OF-SAMPLE,logistic_regression,0.2-0.3,0,,
OUT-OF-SAMPLE,logistic_regression,0.3-0.4,44,0.3819393765810044,0.4090909090909091
OUT-OF-SAMPLE,logistic_regression,0.4-0.5,209,0.45216311403968235,0.3827751196172249
OUT-OF-SAMPLE,logistic_regression,0.5-0.6,195,0.5515407102910186,0.441025641025641
OUT-OF-SAMPLE,logistic_regression,0.6-0.7,166,0.6496324004209527,0.6325301204819277
