match_id,season,match_date,date,home_team,away_team,full_time_result,full_time_home_goals,full_time_away_goals,home_odds,draw_odds,away_odds,away_league_position_before_match,away_odds,away_team_away_goal_difference,away_team_away_goals_conceded,away_team_away_goals_scored,away_team_away_matches_played,away_team_away_points_per_match,away_team_overall_draws,away_team_overall_goal_difference,away_team_overall_goals_conceded,away_team_overall_goals_scored,away_team_overall_losses,away_team_overall_matches_played,away_team_overall_points_per_match,away_team_overall_wins,away_team_rolling10_corners,away_team_rolling10_goal_difference,away_team_rolling10_goals_conceded,away_team_rolling10_goals_scored,away_team_rolling10_matches_available,away_team_rolling10_points,away_team_rolling10_shots,away_team_rolling10_shots_on_target,away_team_rolling10_yellow_cards,away_team_rolling5_corners,away_team_rolling5_goal_difference,away_team_rolling5_goals_conceded,away_team_rolling5_goals_scored,away_team_rolling5_matches_available,away_team_rolling5_points,away_team_rolling5_shots,away_team_rolling5_shots_on_target,away_team_rolling5_yellow_cards,bookmaker_implied_away,bookmaker_implied_draw,bookmaker_implied_home,bookmaker_overround,bookmaker_prob_away,bookmaker_prob_draw,bookmaker_prob_home,draw_odds,h2h_away_win_rate,h2h_draw_rate,h2h_home_perspective_goal_difference,h2h_home_win_rate,h2h_matches_played,home_league_position_before_match,home_odds,home_team_home_goal_difference,home_team_home_goals_conceded,home_team_home_goals_scored,home_team_home_matches_played,home_team_home_points_per_match,home_team_overall_draws,home_team_overall_goal_difference,home_team_overall_goals_conceded,home_team_overall_goals_scored,home_team_overall_losses,home_team_overall_matches_played,home_team_overall_points_per_match,home_team_overall_wins,home_team_rolling10_corners,home_team_rolling10_goal_difference,home_team_rolling10_goals_conceded,home_team_rolling10_goals_scored,home_team_rolling10_matches_available,home_team_rolling10_points,home_team_rolling10_shots,home_team_rolling10_shots_on_target,home_team_rolling10_yellow_cards,home_team_rolling5_corners,home_team_rolling5_goal_difference,home_team_rolling5_goals_conceded,home_team_rolling5_goals_scored,home_team_rolling5_matches_available,home_team_rolling5_points,home_team_rolling5_shots,home_team_rolling5_shots_on_target,home_team_rolling5_yellow_cards,league_position_difference_before_match
2011/12|2011-08-13|Blackburn|Wolves,2011/12,2011-08-13,13/08/11,Blackburn,Wolves,A,1.0,2.0,2.2,3.2,3.5,,3.5,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.2857142857142857,0.3125,0.45454545454545453,1.0527597402597402,0.27139552814186585,0.2968388589051658,0.4317656129529684,3.2,,,,,0.0,,2.2,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,
2011/12|2011-08-13|Fulham|Aston Villa,2011/12,2011-08-13,13/08/11,Fulham,Aston Villa,D,0.0,0.0,2.2,3.2,3.5,,3.5,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.2857142857142857,0.3125,0.45454545454545453,1.0527597402597402,0.27139552814186585,0.2968388589051658,0.4317656129529684,3.2,,,,,0.0,,2.2,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,
2011/12|2011-08-13|Liverpool|Sunderland,2011/12,2011-08-13,13/08/11,Liverpool,Sunderland,D,1.0,1.0,1.57,3.6,7.0,,7.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.14285714285714285,0.2777777777777778,0.6369426751592356,1.0575775957941562,0.13507958510587448,0.2626547488169782,0.6022656660771474,3.6,,,,,0.0,,1.57,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,
2011/12|2011-08-13|Newcastle|Arsenal,2011/12,2011-08-13,13/08/11,Newcastle,Arsenal,D,0.0,0.0,3.75,3.25,2.1,,2.1,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.47619047619047616,0.3076923076923077,0.26666666666666666,1.0505494505494504,0.4532775453277546,0.29288702928870297,0.2538354253835426,3.25,,,,,0.0,,3.75,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,
2011/12|2011-08-13|QPR|Bolton,2011/12,2011-08-13,13/08/11,QPR,Bolton,A,0.0,4.0,2.4,3.25,3.0,,3.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.3333333333333333,0.3076923076923077,0.4166666666666667,1.0576923076923077,0.3151515151515151,0.2909090909090909,0.393939393939394,3.25,,,,,0.0,,2.4,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,
2011/12|2011-08-13|Wigan|Norwich,2011/12,2011-08-13,13/08/11,Wigan,Norwich,D,1.0,1.0,2.2,3.2,3.5,,3.5,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.2857142857142857,0.3125,0.45454545454545453,1.0527597402597402,0.27139552814186585,0.2968388589051658,0.4317656129529684,3.2,,,,,0.0,,2.2,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,
2011/12|2011-08-14|Stoke|Chelsea,2011/12,2011-08-14,14/08/11,Stoke,Chelsea,D,0.0,0.0,5.5,3.5,1.7,,1.7,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.5882352941176471,0.2857142857142857,0.18181818181818182,1.0557677616501147,0.557163531114327,0.27062228654124454,0.17221418234442837,3.5,,,,,0.0,,5.5,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,
2011/12|2011-08-14|West Brom|Man United,2011/12,2011-08-14,14/08/11,West Brom,Man United,A,1.0,2.0,6.5,4.0,1.53,,1.53,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.6535947712418301,0.25,0.15384615384615385,1.057440925087984,0.6180910495661476,0.23641982645905146,0.1454891239748009,4.0,,,,,0.0,,6.5,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,
2011/12|2011-08-15|Man City|Swansea,2011/12,2011-08-15,15/08/11,Man City,Swansea,H,4.0,0.0,1.29,5.0,13.0,,13.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.07692307692307693,0.2,0.7751937984496123,1.0521168753726893,0.07311267286329631,0.19009294944457042,0.7367943776921333,5.0,,,,,0.0,,1.29,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,
2011/12|2011-08-20|Arsenal|Liverpool,2011/12,2011-08-20,20/08/11,Arsenal,Liverpool,A,0.0,2.0,2.5,3.25,2.9,5.0,2.9,,,,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,11.0,4.0,4.0,6.0,0.0,1.0,1.0,1.0,1.0,11.0,4.0,4.0,0.3448275862068966,0.3076923076923077,0.4,1.0525198938992042,0.3276209677419355,0.2923387096774194,0.3800403225806452,3.25,,,,,0.0,9.0,2.5,,,,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,9.0,4.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,9.0,4.0,5.0,-4.0
2011/12|2011-08-20|Aston Villa|Blackburn,2011/12,2011-08-20,20/08/11,Aston Villa,Blackburn,H,3.0,1.0,1.73,3.4,5.5,15.0,5.5,,,,0.0,,0.0,-1.0,2.0,1.0,1.0,1.0,0.0,0.0,12.0,-1.0,2.0,1.0,1.0,0.0,16.0,8.0,4.0,12.0,-1.0,2.0,1.0,1.0,0.0,16.0,8.0,4.0,0.18181818181818182,0.29411764705882354,0.5780346820809249,1.0539705109579303,0.1725078452649793,0.2790568085168783,0.5484353462181424,3.4,,,,,0.0,9.0,1.73,,,,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,4.0,6.0
2011/12|2011-08-20|Chelsea|West Brom,2011/12,2011-08-20,20/08/11,Chelsea,West Brom,H,2.0,1.0,1.3,5.5,10.0,15.0,10.0,,,,0.0,,0.0,-1.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0,-1.0,2.0,1.0,1.0,0.0,14.0,8.0,3.0,6.0,-1.0,2.0,1.0,1.0,0.0,14.0,8.0,3.0,0.1,0.18181818181818182,0.7692307692307692,1.0510489510489511,0.09514304723885562,0.17298735861610112,0.7318695941450432,5.5,,,,,0.0,10.0,1.3,,,,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,20.0,11.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,20.0,11.0,2.0,5.0
2011/12|2011-08-20|Everton|QPR,2011/12,2011-08-20,20/08/11,Everton,QPR,A,0.0,1.0,1.53,3.8,7.0,17.0,7.0,,,,0.0,,0.0,-4.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,-4.0,4.0,0.0,1.0,0.0,13.0,7.0,1.0,3.0,-4.0,4.0,0.0,1.0,0.0,13.0,7.0,1.0,0.14285714285714285,0.2631578947368421,0.6535947712418301,1.059609808835815,0.1348205175772192,0.2483535850106669,0.6168258974121139,3.8,,,,,0.0,,1.53,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,
2011/12|2011-08-20|Sunderland|Newcastle,2011/12,2011-08-20,20/08/11,Sunderland,Newcastle,A,0.0,1.0,2.2,3.25,3.4,13.0,3.4,,,,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,3.0,0.29411764705882354,0.3076923076923077,0.45454545454545453,1.056355409296586,0.27842679127725856,0.29127725856697817,0.43029595015576316,3.25,,,,,0.0,10.0,2.2,,,,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,15.0,6.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,15.0,6.0,4.0,3.0
2011/12|2011-08-20|Swansea|Wigan,2011/12,2011-08-20,20/08/11,Swansea,Wigan,D,0.0,0.0,2.1,3.3,3.6,11.0,3.6,,,,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,18.0,11.0,2.0,7.0,0.0,1.0,1.0,1.0,1.0,18.0,11.0,2.0,0.2777777777777778,0.30303030303030304,0.47619047619047616,1.0569985569985572,0.26279863481228666,0.28668941979522183,0.4505119453924914,3.3,,,,,0.0,19.0,2.1,,,,0.0,,0.0,-4.0,4.0,0.0,1.0,1.0,0.0,0.0,4.0,-4.0,4.0,0.0,1.0,0.0,8.0,5.0,0.0,4.0,-4.0,4.0,0.0,1.0,0.0,8.0,5.0,0.0,-8.0
2011/12|2011-08-21|Bolton|Man City,2011/12,2011-08-21,21/08/11,Bolton,Man City,A,2.0,3.0,4.75,3.5,1.8,6.0,1.8,,,,0.0,,0.0,4.0,0.0,4.0,0.0,1.0,3.0,1.0,7.0,4.0,0.0,4.0,1.0,3.0,26.0,19.0,0.0,7.0,4.0,0.0,4.0,1.0,3.0,26.0,19.0,0.0,0.5555555555555556,0.2857142857142857,0.21052631578947367,1.0517961570593148,0.5281969817315331,0.27164416203335984,0.20015885623510724,3.5,,,,,0.0,5.0,4.75,,,,0.0,,0.0,4.0,0.0,4.0,0.0,1.0,3.0,1.0,2.0,4.0,0.0,4.0,1.0,3.0,13.0,7.0,2.0,2.0,4.0,0.0,4.0,1.0,3.0,13.0,7.0,2.0,1.0
2011/12|2011-08-21|Norwich|Stoke,2011/12,2011-08-21,21/08/11,Norwich,Stoke,D,1.0,1.0,2.6,3.3,2.75,13.0,2.75,,,,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,2.0,0.36363636363636365,0.30303030303030304,0.3846153846153846,1.051282051282051,0.34589800443458985,0.2882483370288249,0.3658536585365854,3.3,,,,,0.0,11.0,2.6,,,,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,13.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,13.0,3.0,2.0,2.0
2011/12|2011-08-21|Wolves|Fulham,2011/12,2011-08-21,21/08/11,Wolves,Fulham,H,2.0,0.0,2.38,3.25,3.1,13.0,3.1,,,,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,13.0,9.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,13.0,9.0,2.0,0.3225806451612903,0.3076923076923077,0.42016806722689076,1.0504410200804888,0.30709067810068286,0.2929172621883437,0.39999205971097346,3.25,,,,,0.0,8.0,2.38,,,,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,3.0,13.0,4.0,2.0,6.0,1.0,1.0,2.0,1.0,3.0,13.0,4.0,2.0,5.0
2011/12|2011-08-22|Man United|Tottenham,2011/12,2011-08-22,22/08/11,Man United,Tottenham,H,3.0,0.0,1.67,3.75,5.5,,5.5,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.18181818181818182,0.26666666666666666,0.5988023952095809,1.0472872436944294,0.17360870469193984,0.2546261002148451,0.5717651950932151,3.75,,,,,0.0,8.0,1.67,,,,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,11.0,5.0,2.0,5.0,1.0,1.0,2.0,1.0,3.0,11.0,5.0,2.0,
2011/12|2011-08-27|Aston Villa|Wolves,2011/12,2011-08-27,27/08/11,Aston Villa,Wolves,D,0.0,0.0,2.1,3.25,3.75,3.0,3.75,1.0,1.0,2.0,1.0,3.0,0.0,3.0,1.0,4.0,0.0,2.0,3.0,2.0,6.5,1.5,0.5,2.0,2.0,3.0,15.0,5.5,2.0,6.5,1.5,0.5,2.0,2.0,3.0,15.0,5.5,2.0,0.26666666666666666,0.3076923076923077,0.47619047619047616,1.0505494505494506,0.25383542538354253,0.2928870292887029,0.4532775453277545,3.25,,,,,0.0,4.0,2.1,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,4.0,1.0,0.5,1.5,2.0,2.0,8.0,3.5,3.5,4.0,1.0,0.5,1.5,2.0,2.0,8.0,3.5,3.5,-1.0
2011/12|2011-08-27|Blackburn|Everton,2011/12,2011-08-27,27/08/11,Blackburn,Everton,A,0.0,1.0,3.3,3.25,2.25,17.0,2.25,,,,0.0,,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,-1.0,1.0,0.0,1.0,0.0,14.0,7.0,1.0,2.0,-1.0,1.0,0.0,1.0,0.0,14.0,7.0,1.0,0.4444444444444444,0.3076923076923077,0.30303030303030304,1.0551670551670551,0.4212076583210604,0.2916053019145803,0.2871870397643594,3.25,,,,,0.0,19.0,3.3,-1.0,2.0,1.0,1.0,0.0,0.0,-3.0,5.0,2.0,2.0,2.0,0.0,0.0,8.0,-1.5,2.5,1.0,2.0,0.0,13.0,7.0,2.0,8.0,-1.5,2.5,1.0,2.0,0.0,13.0,7.0,2.0,-2.0
2011/12|2011-08-27|Chelsea|Norwich,2011/12,2011-08-27,27/08/11,Chelsea,Norwich,H,3.0,1.0,1.2,6.5,15.0,11.0,15.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,11.0,5.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,11.0,5.0,1.0,0.06666666666666667,0.15384615384615385,0.8333333333333334,1.0538461538461539,0.0632603406326034,0.14598540145985403,0.7907542579075426,6.5,,,,,0.0,6.0,1.2,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,6.5,0.5,0.5,1.0,2.0,2.0,21.0,11.5,2.0,6.5,0.5,0.5,1.0,2.0,2.0,21.0,11.5,2.0,5.0
